,property_type,price,location,city,province_name,latitude,longitude,baths,purpose,bedrooms,date_added,agency,agent,Area_in_Marla
150015,House,170000000,North Nazimabad,Karachi,Sindh,24.935635,67.05102,0,For Sale,0,2019-07-12,Islam Associates,M. Khalid,60.0
150016,House,27500000,North Nazimabad,Karachi,Sindh,24.932405,67.030249,0,For Sale,0,2019-07-12,Islam Associates,M. Khalid,8.0
150017,House,52500000,North Nazimabad,Karachi,Sindh,24.932405,67.030249,0,For Sale,0,2019-07-12,Islam Associates,M. Khalid,12.0
150018,House,45000000,North Nazimabad,Karachi,Sindh,24.935635,67.05102,0,For Sale,0,2019-07-12,Islam Associates,M. Khalid,9.3
150019,House,75000000,North Nazimabad,Karachi,Sindh,24.935635,67.05102,0,For Sale,0,2019-07-12,Islam Associates,M. Khalid,16.0
150020,House,62000000,North Nazimabad,Karachi,Sindh,24.942561,67.042007,0,For Sale,0,2019-07-12,Islam Associates,M. Khalid,24.0
150021,House,30000000,North Nazimabad,Karachi,Sindh,24.942561,67.042007,0,For Sale,0,2019-07-12,Islam Associates,M. Khalid,8.0
150022,House,55000000,North Nazimabad,Karachi,Sindh,24.935635,67.05102,0,For Sale,0,2019-07-12,Islam Associates,M. Khalid,9.3
150023,House,23500000,North Nazimabad,Karachi,Sindh,24.955324,67.051063,0,For Sale,0,2019-07-12,Islam Associates,M. Khalid,8.0
150024,Lower Portion,18000000,North Nazimabad,Karachi,Sindh,24.935635,67.05102,0,For Sale,0,2019-07-12,Islam Associates,M. Khalid,9.3
150025,Flat,6500000,Federal B Area,Karachi,Sindh,24.92863,67.06446600000001,3,For Sale,3,2019-07-13,Self,Self,4.8
150026,Flat,6500000,Scheme 33,Karachi,Sindh,25.009258,67.11719599999999,3,For Sale,3,2019-07-12,Cannar,Shahrukh Islam,5.3
150027,House,3000000,Bin Qasim Town,Karachi,Sindh,24.849896,67.26133399999999,2,For Sale,2,2019-07-13,Self,Self,2.4
150028,Flat,5000000,Punjab Colony,Karachi,Sindh,24.830948,67.047329,3,For Sale,2,2019-07-12,Indus Enterprises,"Chaudry Arsalan, Mustafa",4.0
150029,House,140000000,DHA Defence,Karachi,Sindh,24.824093,67.06140500000001,4,For Sale,7,2019-07-12,Z. S Associates,Shams,36.0
150030,House,77500000,DHA Defence,Karachi,Sindh,24.824093,67.06140500000001,3,For Sale,6,2019-07-12,Z. S Associates,Shams,20.0
150031,House,65000000,DHA Defence,Karachi,Sindh,24.805045,67.064323,3,For Sale,6,2019-07-12,Z. S Associates,Shams,12.0
150032,House,58000000,DHA Defence,Karachi,Sindh,24.810265,67.043552,2,For Sale,4,2019-07-12,Z. S Associates,Shams,12.0
150033,House,60000000,Nazimabad,Karachi,Sindh,24.916331,67.035398,0,For Sale,0,2019-07-12,Madina Estate Agency,Sher Ali,16.9
150034,House,65000000,Nazimabad,Karachi,Sindh,24.916331,67.035398,0,For Sale,0,2019-07-12,Madina Estate Agency,Sher Ali,19.4
150035,House,46000000,Nazimabad,Karachi,Sindh,24.916331,67.035398,0,For Sale,0,2019-07-12,Madina Estate Agency,Sher Ali,18.5
150036,House,40000000,Nazimabad,Karachi,Sindh,24.916331,67.035398,0,For Sale,0,2019-07-12,Madina Estate Agency,Sher Ali,18.5
150037,House,60000000,Nazimabad,Karachi,Sindh,24.916331,67.035398,0,For Sale,0,2019-07-12,Madina Estate Agency,Sher Ali,32.0
150038,Flat,7500000,Nazimabad,Karachi,Sindh,24.916331,67.035398,0,For Sale,3,2019-07-12,Madina Estate Agency,Sher Ali,6.4
150039,Flat,8500000,Nazimabad,Karachi,Sindh,24.916331,67.035398,0,For Sale,2,2019-07-12,Madina Estate Agency,Sher Ali,4.7
150040,Flat,7000000,Nazimabad,Karachi,Sindh,24.916331,67.035398,0,For Sale,2,2019-07-12,Madina Estate Agency,Sher Ali,4.2
150041,Flat,4500000,Nazimabad,Karachi,Sindh,24.916331,67.035398,0,For Sale,2,2019-07-12,Madina Estate Agency,Sher Ali,3.1
150042,Flat,4500000,Nazimabad,Karachi,Sindh,24.916331,67.035398,0,For Sale,2,2019-07-12,Madina Estate Agency,Sher Ali,4.9
150043,House,35000000,DHA Defence,Karachi,Sindh,24.819653,67.077749,0,For Sale,4,2019-07-12,Pak Property Links,Fahad Memon,4.0
150044,House,30000000,DHA Defence,Karachi,Sindh,24.819653,67.077749,0,For Sale,5,2019-07-12,Pak Property Links,Fahad Memon,4.0
150045,House,40000000,DHA Defence,Karachi,Sindh,24.819653,67.077749,0,For Sale,3,2019-07-12,Pak Property Links,Fahad Memon,4.0
150046,House,35000000,DHA Defence,Karachi,Sindh,24.819653,67.077749,0,For Sale,3,2019-07-12,Pak Property Links,Fahad Memon,4.0
150047,House,38000000,DHA Defence,Karachi,Sindh,24.819653,67.077749,0,For Sale,3,2019-07-12,Pak Property Links,Fahad Memon,4.0
150048,House,57500000,DHA Defence,Karachi,Sindh,24.821639,67.071691,0,For Sale,4,2019-07-12,Pak Property Links,Fahad Memon,8.0
