,property_type,price,location,city,province_name,latitude,longitude,baths,purpose,bedrooms,date_added,agency,agent,Area_in_Marla
149740,House,11000000,North Karachi,Karachi,Sindh,24.972287,67.066298,8,For Sale,8,2019-07-12,Self,Self,4.0
149741,Flat,6500000,North Nazimabad,Karachi,Sindh,24.941744,67.053638,0,For Sale,2,2019-07-12,Galaxy Estate,Hassan,3.1
149742,Flat,6500000,North Nazimabad,Karachi,Sindh,24.955324,67.051063,0,For Sale,2,2019-07-12,Galaxy Estate,Hassan,4.9
149743,House,42500000,North Nazimabad,Karachi,Sindh,24.948943,67.045097,0,For Sale,0,2019-07-12,Galaxy Estate,Hassan,8.0
149744,House,29000000,North Nazimabad,Karachi,Sindh,24.941744,67.053638,0,For Sale,0,2019-07-12,Galaxy Estate,Hassan,9.3
149745,Flat,7000000,North Nazimabad,Karachi,Sindh,24.941744,67.053638,0,For Sale,2,2019-07-12,Galaxy Estate,Hassan,4.7
149746,House,250000000,North Nazimabad,Karachi,Sindh,24.925361,67.039089,0,For Sale,0,2019-07-12,Galaxy Estate,Hassan,80.0
149747,House,70000000,North Nazimabad,Karachi,Sindh,24.942561,67.042007,0,For Sale,0,2019-07-12,Galaxy Estate,Hassan,24.0
149748,House,140000000,DHA Defence,Karachi,Sindh,24.783467198224,67.059553474671,6,For Sale,6,2019-07-12,Bin Abdullah Real Estate,Farooq Abdullah,40.0
149749,House,13500000,Federal B Area,Karachi,Sindh,24.929408,67.08071,0,For Sale,0,2019-07-12,Ashiyana Associate,"M. Rameez Sikandar, M. Zohair Ilyas",4.8
149750,House,14000000,Federal B Area,Karachi,Sindh,24.931276,67.074873,0,For Sale,0,2019-07-12,Ashiyana Associate,"M. Rameez Sikandar, M. Zohair Ilyas",4.8
149751,Lower Portion,2500000,Federal B Area,Karachi,Sindh,24.929408,67.08071,0,For Sale,0,2019-07-12,Ashiyana Associate,"M. Rameez Sikandar, M. Zohair Ilyas",2.4
149752,House,15000000,Federal B Area,Karachi,Sindh,24.931276,67.074873,0,For Sale,0,2019-07-12,Ashiyana Associate,"M. Rameez Sikandar, M. Zohair Ilyas",4.8
